legal_ref,pasal_ref,ayat_ref,Question
Peraturan Presiden Republik Indonesia Nomor 9 Tahun 2015,Pasal 4,,Apa saja yang dikoordinasikan oleh kementerian koordinator bidang pembangunan manusia dan kebudayaan?
Peraturan Menteri Kehutanan Republik Indonesia Nomor 26 Tahun 2014,Pasal 5,ayat 1,Apa saja yang meliputi evaluasi akip?
Peraturan Pemerintah Republik Indonesia Nomor 70 Tahun 2014,Pasal 27,ayat 4,"Apa saja yang meliputi pembinaan sumber daya manusia di bidang meteorologi, klimatologi, dan geofisika?"
Undang-Undang Republik Indonesia Nomor 42 Tahun 2009,Pasal 1,,Apa saja yang termasuk dasar pengenaan pajak?
Peraturan Menteri Kehutanan Republik Indonesia Nomor 91 Tahun 2014,Pasal 14,ayat 2,Apa saja yang termasuk kegiatan penatausahaan hasil hutan bukan kayu?
Undang-Undang Republik Indonesia Nomor 8 Tahun 1983,Pasal 13,ayat 8,Apa sanksi bagi pengusaha kena pajak yang tidak membuat faktur pajak?
Peraturan Pemerintah Republik Indonesia Nomor 96 Tahun 2012,Pasal 49,ayat 4,Apa sanksi bagi penyelenggara pelayanan publik melanggar ketentuan?
Peraturan Pemerintah Republik Indonesia Nomor 15 Tahun 2015,Pasal 3,ayat 1,Apa syarat fasilitas pajak pertambahan nilai tidak dipungut dapat diberikan pada penyerahan bahan bakar minyak untuk kapal angkatan luar negeri?
Peraturan Menteri Kehutanan Republik Indonesia Nomor 91 Tahun 2014,Pasal 7,ayat 4,Apa syarat lp-hhbk dapat disahkan
Peraturan Presiden Republik Indonesia Nomor 9 Tahun 2015,Pasal 13,,Apa tugas deputi bidang koordinasi penanggulangan kemiskinan dan perlindungan sosial?
Peraturan Presiden Republik Indonesia Nomor 9 Tahun 2015,Pasal 2,,Apa tugas kementerian koordinator bidang pembangunan manusia dan kebudayaan?
Peraturan Menteri Kehutanan Republik Indonesia Nomor 25 Tahun 2014,Pasal 5,,Apa tugas panitia tata batas kawasan hutan?
Peraturan Menteri Kehutanan Republik Indonesia Nomor 79 Tahun 2014,Pasal 2,,Apa tujuan pemasukan satwa liar ke taman buru dan kebun buru?
Peraturan Pemerintah Republik Indonesia Nomor 70 Tahun 2014,Pasal 16,,"Apa unsur yang harus dipenuhi dalam menyelenggarakan pendidikan nonformal di bidang meteorologi, klimatologi dan geofisika?"
Peraturan Pemerintah Republik Indonesia Nomor 70 Tahun 2014,Pasal 21,,"Apa yang diberikan kepada sumber daya manusia yang telah mengikuti pendidikan nonformal bidang meteorologi, klimatologi, dan geofisika?"
Peraturan Mahkamah Agung Republik Indonesia Nomor 8 Tahun 2017,Pasal 7,ayat 1,Apa yang diberikan panitera sebagai bukti pencatatan permohonan?
Peraturan Presiden Republik Indonesia Nomor 9 Tahun 2015,Pasal 26,,Apa yang dilakukan deputi bidang koordinasi perlindungan perempuan dan anak dalam melaksanakan tugas?
Peraturan Badan Tenaga Nuklir Nasional Republik Indonesia Nomor 13 Tahun 2017,Pasal 5,ayat 1,Apa yang diperhatikan dalam menyusun standar pelayanan publik?
Undang-Undang Republik Indonesia Nomor 25 Tahun 2009,Pasal 6,ayat 1,Apa yang diperlukan untuk menjamin kelancaran penyelenggaran pelayanan publik?
Peraturan Presiden Republik Indonesia Nomor 9 Tahun 2015,Pasal 38,,Apa saja yang disusun oleh kementerian koordinator bidang pembangunan manusia dan kebudayaan?
Peraturan Pemerintah Republik Indonesia Nomor 15 Tahun 2015,Pasal 4,ayat 1,Apa yang harus dilakukan pengusaha kena pajak yang mendapatkan fasilitas pajak pertambahan nilai tidak dipungut?
Peraturan Menteri Perhubungan Republik Indonesia Nomor 19 Tahun 2017,Pasal 8,,Apa yang harus dilakukan untuk menerapkan standar pelayanan di lingkungan kementerian perhubungan?
Peraturan Pemerintah Republik Indonesia Nomor 15 Tahun 2015,Pasal 4,ayat 3,Apa yang harus dilampitkan dalam faktur pajak yang diterbitkan pengusaha kena pajak yang mendapatkan fasilitas pajak pertambahan nilai tidak dipungut?
Peraturan Menteri Kehutanan Republik Indonesia Nomor 79 Tahun 2014,Pasal 19,ayat 4,Apa yang harus dilengkapi saat mengangkut satwa liar ke kebun buru
Undang-Undang Republik Indonesia Nomor 42 Tahun 2009,Pasal 13,ayat 9,Apa yang harus dipenuhi oleh faktur pajak?
Peraturan Badan Tenaga Nuklir Nasional Republik Indonesia Nomor 13 Tahun 2017,Pasal 7,ayat 1,Apa yang harus disiapkan sebelum melakukan penyusunan standar pelayanan publik?
Peraturan Menteri Kehutanan Republik Indonesia Nomor 59 Tahun 2014,Pasal 5,ayat 1,Apa yang wajib dilakukan dalam menyelenggaran sistem informasi diklat kehutanan?
Undang-Undang Republik Indonesia Nomor 30 Tahun 2014,Pasal 55,ayat 1,Apakah alasan pertimbangan yang harus diberikan dari setiap keputusan?
Undang-Undang Republik Indonesia Nomor 8 Tahun 1983,Pasal 14,ayat 1,Apakah badan yang tidak dikukuhkan menjadi pengusaha kena pajak dapat membuat faktu pajak?
Peraturan Pemerintah Republik Indonesia Nomor 47 Tahun 2013,Pasal 3,ayat 1,Apakah dasar pembebasan pajak pertambahan nilai kepada perwakilan negara asing?
Undang-Undang Republik Indonesia Nomor 18 Tahun 2000,Pasal 4A,ayat 2,Apakah emas dikenakan pajak pertambahan nilai?
Undang-Undang Republik Indonesia Nomor 16 Tahun 2006,Pasal 4,,"Apakah fungsi sistem penyuluhan pertanian, perikanan, dan kehutanan?"
Peraturan Menteri Pendayagunaan Aparatur Negara Dan Reformasi Birokrasi Republik Indonesia Nomor 14 Tahun 2017,Pasal 6,,Apakah hasil survei kepuasan masyarakat dari unit pelayanan publik wajib dievaluasi?
Peraturan Pemerintah Republik Indonesia Nomor 47 Tahun 2013,Pasal 2,ayat 1,Apakah impor barang yang dilakukan pejabat badan internasional dikenakan pajak?
Peraturan Menteri Dalam Negeri Republik Indonesia Nomor 40 Tahun 2015,Pasal 1,,Apakah jabatan yang setara dengan jabatan fungsional umum?
Undang-Undang Republik Indonesia Nomor 18 Tahun 2000,Pasal 4A,ayat 3,Apakah jasa pelayanan kesehatan medis dikenai pajak pertambahan nilai?
Peraturan Menteri Dalam Negeri Republik Indonesia Nomor 91 Tahun 2017,Pasal 7A,ayat 2,Apakah kepala biro kepegawaian memiliki wewenang menandatangani naskah dinas dalam bentuk dan susunan surat dalam bidang kepegawaian?
Peraturan Badan Tenaga Nuklir Nasional Republik Indonesia Nomor 13 Tahun 2017,Pasal 8,ayat 1,Apakah masyarakat perlu diikutsertakan dalam pembahasan rancangan standar pelayanan publik?
Undang-Undang Republik Indonesia Nomor 37 Tahun 2008,Pasal 9,,Apakah ombudsman dapat mencampuri kebebasan hakim dalam memberikan putusan?
Undang-Undang Republik Indonesia Nomor 16 Tahun 2006,Pasal 36,,"Apakah orang yang melakukan penyuluhan pertanian, perikanan, kehutanan yang menimbulkan kerugian sosial ekonomi dapat dipidana?"
Peraturan Menteri Kehutanan Republik Indonesia Nomor 79 Tahun 2014,Pasal 14,ayat 1,Apakah pemegang izin dapat mengangkut satwa liar ke taman buru
Undang-Undang Republik Indonesia Nomor 18 Tahun 2000,Pasal 10,ayat 3,Apakah pengusaha kena pajak dapat meminta kembali pajak penjualan atas barang mewah yang telah dibayar?
Peraturan Menteri Pendayagunaan Aparatur Negara Dan Reformasi Birokrasi Republik Indonesia Nomor 14 Tahun 2017,Pasal 4,ayat 1,Apakah penyelenggara pelayanan publik wajib mempublikasikan hasil survei kepuasan masyarakat?
Peraturan Pemerintah Republik Indonesia Nomor 96 Tahun 2012,Pasal 40,,Apakah penyelenggara pelayanan publik wajib mengikutsertakan masyarakat dalam penyelenggaraan pelayanan publik?
Peraturan Pemerintah Republik Indonesia Nomor 70 Tahun 2014,Pasal 17,ayat 2,"Apakah penyelenggaraan pendidikan nonformal di bidang meteorologi, klimatologi, dan geofisika harus bekerja sama dengan instansi pemerintah yang bertugas dan bertanggung jawab di bidang meteorologi, klimatologi, dan geofisika?"
Peraturan Menteri Dalam Negeri Republik Indonesia Nomor 40 Tahun 2015,Pasal 15,,Apakah peraturan menteri dalam negeri nomor 52 tahun 2010 tentang penandatanganan naskah dinas bidang kepegawaian di lingkungan kementerian dalam negeri masih berlaku?
Peraturan Mahkamah Agung Republik Indonesia Nomor 8 Tahun 2017,Pasal 3,ayat 3,Apakah permohonan terhadap permasalahan hukum yang pernah diajukan gugatan dapat menjadi objek permohonan?
Peraturan Menteri Dalam Negeri Republik Indonesia Nomor 91 Tahun 2017,Pasal 5A,ayat 2,Apakah plt sekretaris jendral memiliki wewenang menandatangani naskah dinas dalam bentuk dan susunan surat dalam bidang kepegawaian?
Peraturan Pemerintah Republik Indonesia Nomor 26 Tahun 2015,Pasal 13,,Apakah ptn badan hukum diberikan hak pengelolaan kekayaan negara?
Peraturan Menteri Riset Teknologi Dan Pendidikan Tinggi Republik Indonesia Nomor 90 Tahun 2017,Pasal 13,ayat 1,Apakah ptn dapat menerima calon mahasiswa baru dengan prestasi non akademik?
Peraturan Pemerintah Republik Indonesia Nomor 96 Tahun 2012,Pasal 31,,Apakah yang dapat dijadikan acuan penilaian penyelenggaraan pelayanan publik?
Peraturan Menteri Kehutanan Republik Indonesia Nomor 59 Tahun 2014,Pasal 33,,Bagaimana cara memperoleh pelayanan informasi diklat?
Undang-Undang Republik Indonesia Nomor 11 Tahun 1994,Pasal 9,ayat 1,Bagaimana cara menghitung pajak pertambahan nilai yang terhutang?
Peraturan Menteri Kehutanan Republik Indonesia Nomor 26 Tahun 2014,Pasal 2,ayat 4,Bagaimana hasil evaluasi akip dituangkan?
Peraturan Menteri Riset Teknologi Dan Pendidikan Tinggi Republik Indonesia Nomor 100 Tahun 2016,Pasal 31,ayat 1,Bagaimana jika perguruan tinggi dikenai sanksi administratif ringan berupa peringatan tertulis?
Undang-Undang Republik Indonesia Nomor 12 Tahun 2012,Pasal 19,ayat 3,Bagaimanakah kualifikasi dosen yang harus dimiliki  program magister?
Undang-Undang Republik Indonesia Nomor 37 Tahun 2008,Pasal 11,ayat 1,Berapa anggota yang dimiliki ombudsman?
Peraturan Menteri Riset Teknologi Dan Pendidikan Tinggi Republik Indonesia Nomor 100 Tahun 2016,Pasal 4,ayat 1,Berapa jumlah program diploma yang dapat dimiliki universitas?
Undang-Undang Republik Indonesia Nomor 11 Tahun 1994,Pasal 5,ayat 2,Berapa kali pajak penjualan atas barang merah dikenakan?
Peraturan Menteri Riset Teknologi Dan Pendidikan Tinggi Republik Indonesia Nomor 90 Tahun 2017,Pasal 5,ayat 3,Berapa kuota setiap program studi untuk calon mahasiswa baru yang mengikuti sbmptn?
Undang-Undang Republik Indonesia Nomor 37 Tahun 2008,Pasal 17,,Berapa lama ketua ombudsman memegang jabatan?
Peraturan Pemerintah Republik Indonesia Nomor 70 Tahun 2014,Pasal 25,ayat 1,"Berapa lama waktu berlakunya sertifikat kompetensi di bidang meteorologi, klimatologi, dan geofisika?"
Peraturan Menteri Kehutanan Republik Indonesia Nomor 25 Tahun 2014,Pasal 7,ayat 1,Berapa orang yang harus menandatangani berita acara tata batas dan peta tata batas agar dokumen tata batas agar dapat diproses?
Undang-Undang Republik Indonesia Nomor 18 Tahun 2000,Pasal 12,ayat 2,Berapa tempat pajak terutang yang dapat ditetapkan direktorat jenderal pajak?
Undang-Undang Republik Indonesia Nomor 11 Tahun 1994,Pasal 7,ayat 2,Berapakah tarif pajak pertambahan nilai atas ekspor barang kena pajak?
Undang-Undang Republik Indonesia Nomor 8 Tahun 1983,Pasal 7,ayat 1,Berapakah tarif pajak pertambahan nilai?
Peraturan Pemerintah Republik Indonesia Nomor 26 Tahun 2015,Pasal 5,,Dapat digunakan untuk apakah bantuan pendanaan ptn badan hukum?
Undang-Undang Republik Indonesia Nomor 30 Tahun 2014,Pasal 11,,Dari manakah kewenangan pemerintahan diperoleh?
Peraturan Pemerintah Republik Indonesia Nomor 26 Tahun 2015,Pasal 2,,Dari manakah sumber pendanaan ptn badan hukum?
Undang-Undang Republik Indonesia Nomor 37 Tahun 2008,Pasal 5,ayat 1,Di manakah ombudsman berkedudukan?
Peraturan Menteri Kehutanan Republik Indonesia Nomor 26 Tahun 2014,Pasal 2,ayat 5,Dimana rencana kegiatan evaluasi akip dituangkan?
Peraturan Menteri Kehutanan Republik Indonesia Nomor 25 Tahun 2014,Pasal 7,ayat 3,Kapan direktur jenderal dokumen tata batas
Undang-Undang Republik Indonesia Nomor 42 Tahun 2009,Pasal 13,ayat 2A,Kapan faktur pajak harus dibuat?
Undang-Undang Republik Indonesia Nomor 8 Tahun 1983,Pasal 16,ayat 2,Kapan kelebihan pembayaran pajak atas barang yang diekspor dikembalikan?
Peraturan Menteri Ketenagakerjaan Republik Indonesia Nomor 5 Tahun 2017,Pasal 13,ayat 6,Kapan monitoring dan evaluasi penerapan sop dilaksanakan?
Peraturan Menteri Riset Teknologi Dan Pendidikan Tinggi Republik Indonesia Nomor 90 Tahun 2017,Pasal 4,ayat 1,Kapan pelaksanaan snmptn dapat dilakukan?
Peraturan Badan Tenaga Nuklir Nasional Republik Indonesia Nomor 13 Tahun 2017,Pasal 14,ayat 1,Kapan peninjauan ulang standar pelayanan publik dilakukan?
Peraturan Menteri Kehutanan Republik Indonesia Nomor 59 Tahun 2014,Pasal 41,ayat 1,Kapan pusat pendidikan dan pelatihan kehutanan melaksanakan evaluasi pelaksanaan layanan informasi diklat?
Peraturan Menteri Pendayagunaan Aparatur Negara Dan Reformasi Birokrasi Republik Indonesia Nomor 14 Tahun 2017,Pasal 1,ayat 1,Kapan survei kepuasan masyarakat harus dilakukan oleh penyelenggara pelayanan publik?
Undang-Undang Republik Indonesia Nomor 42 Tahun 2009,Pasal 8,ayat 1,Kapan waktu terutangnya pajak terjadi?
Peraturan Menteri Riset Teknologi Dan Pendidikan Tinggi Republik Indonesia Nomor 90 Tahun 2017,Pasal 16,ayat 1,Kemana pembiayaan pelaksanaan snmptn dibebankan?
Peraturan Menteri Perhubungan Republik Indonesia Nomor 19 Tahun 2017,Pasal 7,ayat 4,Kemanakah hasil pemantauan dan evaluasi standar pelayanan publik harus dilaporkan?
Peraturan Menteri Pendayagunaan Aparatur Negara Dan Reformasi Birokrasi Republik Indonesia Nomor 14 Tahun 2017,Pasal 4,ayat 2,Kemanakah hasil survei kepuasan masyarakat terhadap penyelenggara pelayanan publik dilaporkan?
Peraturan Menteri Kehutanan Republik Indonesia Nomor 26 Tahun 2014,Pasal 3,,Kepada siapa laporan hasil evaluasi akip disampaikan?
Undang-Undang Republik Indonesia Nomor 8 Tahun 1983,Pasal 15,ayat 1,Kepada siapa pengusaha kena pajak melaporkan penghitungan pajak
Peraturan Menteri Kehutanan Republik Indonesia Nomor 59 Tahun 2014,Pasal 5,ayat 2,Kepada siapa penyelengara yang menyelenggarakan sistem informasi diklat kehutanan bertanggung jawab?
Peraturan Mahkamah Agung Republik Indonesia Nomor 8 Tahun 2017,Pasal 4,ayat 1,Kepada siapa permohonan diajukan?
Peraturan Menteri Perhubungan Republik Indonesia Nomor 19 Tahun 2017,Pasal 5,ayat 2,Kepada siapa standar pelayanan publik di lingkungan kementerian perhubungan yang telah ditetapkan harus dilaporkan?
Peraturan Menteri Keuangan Republik Indonesia Nomor 108 Tahun 2017,Pasal 3,ayat 1,Kepada siapa usulan penetapan nilai kekayaan awal ptn badan hukum disampaikan?
Peraturan Pemerintah Republik Indonesia Nomor 47 Tahun 2013,Pasal 4,ayat 2,Pejabat badan internasional seperti apakah yang diberikan pembebasan pajak pertambahan nilai?
Undang-Undang Republik Indonesia Nomor 30 Tahun 2014,Pasal 44,ayat 1,Siapa yang berhak melaporkan keterangan adanya dugaan konflik kepentingan pejabat pemerintahan?
Undang-Undang Republik Indonesia Nomor 37 Tahun 2008,Pasal 23,,Siapa yang berhak menyampaikan laporan kepada ombudsman?
Undang-Undang Republik Indonesia Nomor 25 Tahun 2009,Pasal 31,ayat 1,Siapa yang bertanggung jawab atas biaya/tarif pelayanan publik?
Undang-Undang Republik Indonesia Nomor 12 Tahun 2012,Pasal 16,ayat 3,"Siapa yang bertanggung jawab atas pembinaan, koordinasi, dan pengawasan pendidikan vokasi?"
Undang-Undang Republik Indonesia Nomor 12 Tahun 2012,Pasal 7,ayat 1,Siapa yang bertanggung jawab atas penyelenggaraan pendidikan tinggi?
Peraturan Menteri Dalam Negeri Republik Indonesia Nomor 91 Tahun 2017,Pasal 5,ayat 2,Siapa yang berwenang menandatangani naskah dinas bidang kepegawaian yang berbentuk pernyataan pelantikan jabatan pimpinan tinggi madya?
Peraturan Menteri Dalam Negeri Republik Indonesia Nomor 40 Tahun 2015,Pasal 7,ayat 2,Siapa yang berwenang menandatangani surat penempatan cpns?
Peraturan Menteri Dalam Negeri Republik Indonesia Nomor 40 Tahun 2015,Pasal 6,ayat 2,Siapa yang berwenang mendatangani surat izin cuti tahunan pns yang menduduki jabatan pimpinan tinggi pratama dilingkungan satuan kerja?
Peraturan Menteri Dalam Negeri Republik Indonesia Nomor 40 Tahun 2015,Pasal 5,ayat 2,Siapa yang berwenang mendatangani surat perintah tugas peserta pendidikan dan pelatihan kepemimpinan tingkat ii?
Peraturan Menteri Dalam Negeri Republik Indonesia Nomor 91 Tahun 2017,Pasal 7,ayat 2,Siapa yang berwenang mendatangani surat perjanjian tugas belajar?
Undang-Undang Republik Indonesia Nomor 16 Tahun 2006,Pasal 20,ayat 1,"Siapa yang dapat melakukan kegiatan penyuluhan pertanian, perikanan, kehutanan?"
Undang-Undang Republik Indonesia Nomor 12 Tahun 2012,Pasal 17,ayat 2,Siapa yang dapat mendirikan pendidikan profesi?
Peraturan Pemerintah Republik Indonesia Nomor 47 Tahun 2013,Pasal 5,,Siapa yang dapat menerbitkan surat pembebasan pajak pertambahan nilai?
Peraturan Menteri Keuangan Republik Indonesia Nomor 108 Tahun 2017,Pasal 18,ayat 1,Siapa yang ditugaskan untuk melakukan penelitian terhadap usulan penetapan nilai kekayaan awal ptn badan hukum?
Peraturan Menteri Kehutanan Republik Indonesia Nomor 26 Tahun 2014,Pasal 2,ayat 1,Siapa yang melaksanakan evaluasi akip unit kerja di lingkungnan kementerian kehutanan?
Peraturan Menteri Keuangan Republik Indonesia Nomor 108 Tahun 2017,Pasal 10,,"Siapa yang melaksanakan pembinaan, monitoring, dan evaluasi pelaksanaan likuidasi entitas satker ptn?"
Peraturan Menteri Kehutanan Republik Indonesia Nomor 91 Tahun 2014,Pasal 13,ayat 1,Siapa yang melaksanakan pengawasan dan pengendalian terhadap pelaksanaan penatausahaan hasil hutan bukan kayu?
Peraturan Badan Tenaga Nuklir Nasional Republik Indonesia Nomor 13 Tahun 2017,Pasal 4,ayat 1,Siapa yang melaksanakan penyelenggaraan pelayanan publik?
Peraturan Menteri Kehutanan Republik Indonesia Nomor 79 Tahun 2014,Pasal 12,ayat 1,Siapa yang melakukan pemasukan satwa liar dari luar negeri ke taman buru?
Peraturan Menteri Kehutanan Republik Indonesia Nomor 79 Tahun 2014,Pasal 5,ayat 1,Siapa yang melakukan pemasukan satwa liar ke taman buru?
Peraturan Pemerintah Republik Indonesia Nomor 96 Tahun 2012,Pasal 48,ayat 3,Siapa yang melakukan pembinaan dan pengawasan umum pelayanan publik di daerah?
Peraturan Menteri Riset Teknologi Dan Pendidikan Tinggi Republik Indonesia Nomor 100 Tahun 2016,Pasal 17,ayat 1,Siapa yang melakukan pembubaran ptn dan pencabutan izin pts?
Peraturan Menteri Riset Teknologi Dan Pendidikan Tinggi Republik Indonesia Nomor 100 Tahun 2016,Pasal 37,ayat 2,Siapa yang melakukan pemeriksaan dugaan pelanggaran perguruan tinggi yang dikenai sanksi administratif sedang?
Peraturan Mahkamah Agung Republik Indonesia Nomor 8 Tahun 2017,Pasal 4,ayat 3,Siapa yang melakukan penelitian administrasi permohonan?
Undang-Undang Republik Indonesia Nomor 25 Tahun 2009,Pasal 35,ayat 1,Siapa yang melakukan pengawasan penyelenggaraan pelayanan publik?
Peraturan Menteri Kehutanan Republik Indonesia Nomor 25 Tahun 2014,Pasal 2,ayat 1,Siapa yang membentuk panitia tata batas kawasan hutan?
Undang-Undang Republik Indonesia Nomor 42 Tahun 2009,Pasal 12,ayat 3,Siapa yang memungut pajak dalam hal impor?
Peraturan Menteri Riset Teknologi Dan Pendidikan Tinggi Republik Indonesia Nomor 90 Tahun 2017,Pasal 6,ayat 1,Siapa yang menetapkan daya tampung setiap program studi?
Peraturan Menteri Riset Teknologi Dan Pendidikan Tinggi Republik Indonesia Nomor 100 Tahun 2016,Pasal 11,ayat 3,Siapa yang menetapkan lokasi pts yang didirikan melalui kerja sama?
Peraturan Pemerintah Republik Indonesia Nomor 26 Tahun 2015,Pasal 8,ayat 1,Siapa yang menetapkan satuan standar biaya ptn badan hukum?
Peraturan Menteri Ketenagakerjaan Republik Indonesia Nomor 5 Tahun 2017,Pasal 11,ayat 2,Siapa yang menetapkan sop untuk eselon i?
Peraturan Menteri Ketenagakerjaan Republik Indonesia Nomor 5 Tahun 2017,Pasal 11,ayat 4,Siapa yang menetapkan sop untuk unit pelaksana teknis pusat?
Peraturan Menteri Perhubungan Republik Indonesia Nomor 19 Tahun 2017,Pasal 5,ayat 1,Siapa yang menetapkan standar pelayanan publik dilingkungan kementerian perhubungan yang telah disepakati?
Undang-Undang Republik Indonesia Nomor 11 Tahun 1994,Pasal 13,ayat 4,Siapa yang menetapkan tata cara pembetulan faktur pajak?
Undang-Undang Republik Indonesia Nomor 11 Tahun 1994,Pasal 16A,ayat 2,"Siapa yang menetapkan tata cara pemungutan, penyetoran, dan pelaporan pajak yang dilakukan oleh pemungut pajak pertambahan nilai?"
Undang-Undang Republik Indonesia Nomor 25 Tahun 2009,Pasal 23,ayat 2,Siapa yang mengelola sistem informasi pelayanan publik?
Peraturan Menteri Kehutanan Republik Indonesia Nomor 59 Tahun 2014,Pasal 4,ayat 1,Siapa yang menyelenggarakan sistem informasi diklat kehutanan?
Peraturan Menteri Keuangan Republik Indonesia Nomor 108 Tahun 2017,Pasal 17,ayat 1,Siapa yang menyepakati dokumen berita acara kesepakatan nilai kekayaan awal ptn badan hukum?
Peraturan Menteri Ketenagakerjaan Republik Indonesia Nomor 5 Tahun 2017,Pasal 11,ayat 1,Siapa yang menyusun sop
Undang-Undang Republik Indonesia Nomor 18 Tahun 2000,Pasal 13,ayat 1,Siapa yang wajib membuat faktur pajak untuk setiap barang kena pajak?
Peraturan Menteri Kehutanan Republik Indonesia Nomor 91 Tahun 2014,Pasal 12,ayat 1,Siapa yang wajib menyampaikan rekapitulasi laporan bulanan pelaksanaan penatausahaan hasil hutan bukan kayu?
Peraturan Pemerintah Republik Indonesia Nomor 47 Tahun 2013,Pasal 3,ayat 3,Siapakah yang dapat memberikan pembebasan pajak pertambahan nilai?
Peraturan Pemerintah Republik Indonesia Nomor 96 Tahun 2012,Pasal 22,ayat 1,Siapakah yang menyusun standar pelayanan publik?
Undang-Undang Republik Indonesia Nomor 25 Tahun 2009,Pasal 5,ayat 1,Apa saja yang meliputi ruang lingkup pelayanan publik?
